Designator;Quantity;Value;Footprint;;;
C5,C100;2;100u;CP_Radial_D5.0mm_P2.50mm;X;reichelt;Polarized caps
Q2,Q1,Q3;3;BS170;TO-92_Inline_Wide;X;reichelt;
R1,R11,R7,R2,R10,R6,R3;7;1M;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
LED1;1;LED;LED_D3.0mm;X;Doma;
DRIVE1;1;C5K;Alpha-pot-16mm-5mm;X;musikding;
R15;1;82K;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
R16,R17;2;10K;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
C6;1;220n;C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2;X;reichelt;
D100;1;1N5817;D_DO-41_SOD81_P10.16mm_Horizontal;X;reichelt;
R5;1;470K;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
R13;1;330R;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
D1,D2,D3;3;1N5239B;D_DO-35_SOD27_P7.62mm_Horizontal;X;reichelt;
C2,C4;2;22n;C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2;X;reichelt;
R4,R8,R12;3;5K1;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
C3;1;470p;C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2;X;reichelt;
C8;1;3n9;C_Rect_L7.0mm_W2.5mm_P5.00mm;X;reichelt;
C7;1;39n;C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2;;;
TONE1;1;B100K;Alpha-pot-16mm-5mm;X;musikding;
R100;1;100R;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
VOLUME1;1;A100K;Alpha-pot-16mm-5mm;X;musikding;
R9;1;180R;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
J2,J3;2;Conn_01x02_Pin;PinSocket_1x02_P2.54mm_Vertical;/;/;
C1;1;100n;C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2;X;reichelt;
J1;1;Conn_01x04_Pin;PinHeader_1x04_P2.54mm_Vertical;/;/;
CLR1;1;4K7;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
C9;1;3n9;C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2;X;reichelt;
R14;1;47K;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;X;reichelt;
